,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL
609,BPCL,Long Closed,2000-06-14,9.17,2000-07-25,7.75,5454.0,49994.997,-7744.68,-15.491
610,BPCL,Long Closed,2000-09-27,7.5,2000-10-09,6.41,6666.0,49995.0,-7265.94,-14.533
611,BPCL,Long Closed,2000-11-13,7.92,2001-04-04,15.08,6315.0,49993.746,45215.4,90.442
612,BPCL,Long Closed,2001-04-19,19.16,2001-06-08,14.4,2609.0,49994.963,-12418.84,-24.84
613,BPCL,Long Closed,2001-10-25,13.7,2002-04-26,23.35,3649.0,49991.299,35212.85,70.438
614,BPCL,Long Closed,2002-07-10,23.67,2002-09-04,22.3,2112.0,49983.999,-2893.44,-5.789
615,BPCL,Long Closed,2002-12-12,17.41,2003-02-07,16.83,2871.0,49991.289,-1665.18,-3.331
616,BPCL,Long Closed,2003-03-10,17.91,2003-08-06,22.5,2791.0,49982.157,12810.69,25.631
617,BPCL,Long Closed,2003-08-22,25.27,2003-11-04,29.17,1978.0,49993.949,7714.2,15.43
618,BPCL,Long Closed,2003-11-20,29.33,2004-02-25,37.75,1705.0,49999.126,14356.1,28.713
619,BPCL,Long Closed,2004-03-05,40.33,2004-03-12,38.58,1239.0,49972.998,-2168.25,-4.339
620,BPCL,Long Closed,2004-03-24,37.33,2004-04-02,41.25,1339.0,49989.332,5248.88,10.5
621,BPCL,Long Closed,2004-04-15,41.75,2004-05-13,27.92,1197.0,49974.75,-16554.51,-33.126
622,BPCL,Long Closed,2004-08-20,28.17,2004-10-29,29.5,1775.0,49995.832,2360.75,4.722
623,BPCL,Long Closed,2004-11-09,32.5,2005-02-01,35.58,1538.0,49985.0,4737.04,9.477
624,BPCL,Long Closed,2005-02-24,35.15,2005-03-04,34.15,1422.0,49983.302,-1422.0,-2.845
625,BPCL,Long Closed,2005-05-25,32.92,2005-06-30,30.48,1518.0,49967.496,-3703.92,-7.413
626,BPCL,Long Closed,2005-07-29,30.41,2005-08-29,30.84,1644.0,49991.299,706.92,1.414
627,BPCL,Long Closed,2005-10-11,34.42,2006-03-10,35.12,1452.0,49972.996,1016.4,2.034
628,BPCL,Long Closed,2006-04-18,37.92,2006-05-30,34.17,1318.0,49974.163,-4942.5,-9.89
629,BPCL,Long Closed,2006-08-29,30.05,2006-11-23,31.16,1664.0,49996.267,1847.04,3.694
630,BPCL,Long Closed,2007-01-24,29.67,2007-02-28,25.08,1685.0,49988.332,-7734.15,-15.472
631,BPCL,Long Closed,2007-04-25,26.92,2007-06-22,30.83,1857.0,49984.249,7260.87,14.526
632,BPCL,Long Closed,2007-09-26,29.06,2008-02-01,30.83,1720.0,49980.332,3044.4,6.091
633,BPCL,Long Closed,2008-03-10,36.0,2008-04-03,34.67,1388.0,49968.0,-1846.04,-3.694
634,BPCL,Long Closed,2008-08-04,27.75,2008-11-06,26.16,1801.0,49977.75,-2863.59,-5.73
635,BPCL,Long Closed,2008-12-11,27.67,2009-03-19,28.25,1807.0,49993.666,1048.06,2.096
